id,text
1,ugh... delivery took foreverrr 😤😤 frfr
2,haha they actually fixed it fast 👏👏 frfr
3,horrible! never ordering again 🤦‍♂️
4,ugh... delivery took foreverrr 😤😤 💀
5,Product okish... not bad tbh. #fail
6,quality was fine ig 🤷‍♂️ ...
7,idk man... the site keeps lagging :(
8,OMG 😍😍 this app is sooo cool!!! #awesome frfr
9,why the payment keeps failing 😡 @company pls fix!! @brand
10,customer srvc was great 👍👍!!!
11,order canceled without reason?? 😂😂
12,LOVED the new update!!! 💯💯🔥 @brand
13,meh... okay experience overall. pls fix
14,haha they actually fixed it fast 👏👏 😂😂
15,customer srvc was great 👍👍 smh
16,LOVED the new update!!! 💯💯🔥 omg
17,customer srvc was great 👍👍 lol
18,haha got refund today finally 😂😂 🤣
19,brooo this thing is AMAZINGGG 😍🔥!!!
20,haha got refund today finally 😂😂 #fail
21,why the payment keeps failing 😡 @company pls fix!! 😂😂
22,Received item late but okay quality. frfr
23,wtf was that error msg lol 😂😂 tbh
24,LOVED the new update!!! 💯💯🔥 smh
25,yayyyy my order arrived 🥳🥳🥳 @brand
26,what the hell is wrong with ur app?? 😤😤!!!
27,Received item late but okay quality. lol
28,ugh... delivery took foreverrr 😤😤 💀
29,Received item late but okay quality. 😂😂
30,horrible! never ordering again 🤦‍♂️ frfr
31,update ruined everything smh 😩 pls fix
32,meh... okay experience overall. 🤣
33,idk man... the site keeps lagging :(!!!
34,brooo this thing is AMAZINGGG 😍🔥 frfr
35,quality was fine ig 🤷‍♂️ @brand
36,ugh... delivery took foreverrr 😤😤 frfr
37,quality was fine ig 🤷‍♂️ #loveit
38,haha got refund today finally 😂😂 #fail
39,no issues so far. nice job. @brand
40,ugh... delivery took foreverrr 😤😤
41,yayyyy my order arrived 🥳🥳🥳 lol
42,no issues so far. nice job. frfr
43,what the hell is wrong with ur app?? 😤😤 🤣
44,ugh... delivery took foreverrr 😤😤 frfr
45,brooo this thing is AMAZINGGG 😍🔥 🤣
46,LOVED the new update!!! 💯💯🔥 😂😂
47,haha got refund today finally 😂😂
48,quality was fine ig 🤷‍♂️!!!
49,what the hell is wrong with ur app?? 😤😤 💀
50,OMG 😍😍 this app is sooo cool!!! #awesome #review
51,horrible! never ordering again 🤦‍♂️ frfr
52,brooo this thing is AMAZINGGG 😍🔥 @brand
53,Received item late but okay quality. 💀
54,quality was fine ig 🤷‍♂️ @brand
55,idk man... the site keeps lagging :( #loveit
56,haha they actually fixed it fast 👏👏 @brand
57,order canceled without reason?? ...
58,no issues so far. nice job. #fail
59,LOVED the new update!!! 💯💯🔥 lol
60,haha they actually fixed it fast 👏👏 🤣
61,horrible! never ordering again 🤦‍♂️ 😂😂
62,OMG 😍😍 this app is sooo cool!!! #awesome 😂😂
63,haha got refund today finally 😂😂 🤣
64,customer srvc was great 👍👍 ...
65,haha got refund today finally 😂😂 ...
66,horrible! never ordering again 🤦‍♂️ frfr
67,ugh... delivery took foreverrr 😤😤 omg
68,why the payment keeps failing 😡 @company pls fix!! @brand
69,Product okish... not bad tbh. #loveit
70,OMG 😍😍 this app is sooo cool!!! #awesome tbh
71,idk man... the site keeps lagging :( #loveit
72,OMG 😍😍 this app is sooo cool!!! #awesome smh
73,brooo this thing is AMAZINGGG 😍🔥 😂😂
74,quality was fine ig 🤷‍♂️ tbh
75,meh... okay experience overall. asap
76,meh... okay experience overall. tbh
77,meh... okay experience overall. smh
78,Product okish... not bad tbh. smh
79,OMG 😍😍 this app is sooo cool!!! #awesome tbh
80,wtf was that error msg lol 😂😂 omg
81,Product okish... not bad tbh. ...
82,meh... okay experience overall.
83,yayyyy my order arrived 🥳🥳🥳 haha
84,no issues so far. nice job.!!!
85,Product okish... not bad tbh. pls fix
86,Product okish... not bad tbh. frfr
87,brooo this thing is AMAZINGGG 😍🔥!!!
88,ugh... delivery took foreverrr 😤😤 💀
89,Product okish... not bad tbh. omg
90,customer srvc was great 👍👍 @brand
91,OMG 😍😍 this app is sooo cool!!! #awesome!!!
92,haha got refund today finally 😂😂 #review
93,brooo this thing is AMAZINGGG 😍🔥 🤣
94,quality was fine ig 🤷‍♂️ #fail
95,brooo this thing is AMAZINGGG 😍🔥 pls fix
96,idk man... the site keeps lagging :( #loveit
97,customer srvc was great 👍👍 #loveit
98,haha got refund today finally 😂😂 @brand
99,update ruined everything smh 😩 #loveit
100,update ruined everything smh 😩 frfr
101,Received item late but okay quality. @brand
102,what the hell is wrong with ur app?? 😤😤 lol
103,wtf was that error msg lol 😂😂!!!
104,meh... okay experience overall. pls fix
105,haha they actually fixed it fast 👏👏 pls fix
106,no issues so far. nice job. omg
107,idk man... the site keeps lagging :( lol
108,idk man... the site keeps lagging :( omg
109,quality was fine ig 🤷‍♂️ omg
110,brooo this thing is AMAZINGGG 😍🔥 🤣
111,idk man... the site keeps lagging :( asap
112,haha they actually fixed it fast 👏👏 #loveit
113,Received item late but okay quality.!!!
114,why the payment keeps failing 😡 @company pls fix!! ...
115,no issues so far. nice job. 🤣
116,ugh... delivery took foreverrr 😤😤 smh
117,quality was fine ig 🤷‍♂️ frfr
118,horrible! never ordering again 🤦‍♂️ ...
119,brooo this thing is AMAZINGGG 😍🔥 @brand
120,customer srvc was great 👍👍 tbh
121,OMG 😍😍 this app is sooo cool!!! #awesome pls fix
122,meh... okay experience overall.
123,why the payment keeps failing 😡 @company pls fix!! #loveit
124,haha they actually fixed it fast 👏👏 pls fix
125,idk man... the site keeps lagging :( smh
126,meh... okay experience overall. asap
127,update ruined everything smh 😩!!!
128,wtf was that error msg lol 😂😂 #loveit
129,why the payment keeps failing 😡 @company pls fix!! pls fix
130,why the payment keeps failing 😡 @company pls fix!! 😂😂
131,update ruined everything smh 😩 💀
132,brooo this thing is AMAZINGGG 😍🔥 💀
133,LOVED the new update!!! 💯💯🔥 pls fix
134,customer srvc was great 👍👍 frfr
135,Received item late but okay quality. pls fix
136,why the payment keeps failing 😡 @company pls fix!! haha
137,haha got refund today finally 😂😂 frfr
138,yayyyy my order arrived 🥳🥳🥳 frfr
139,horrible! never ordering again 🤦‍♂️ @brand
140,brooo this thing is AMAZINGGG 😍🔥 😂😂
141,Product okish... not bad tbh. #loveit
142,ugh... delivery took foreverrr 😤😤 #fail
143,haha they actually fixed it fast 👏👏 tbh
144,idk man... the site keeps lagging :( smh
145,OMG 😍😍 this app is sooo cool!!! #awesome #review
146,order canceled without reason?? 💀
147,brooo this thing is AMAZINGGG 😍🔥 ...
148,no issues so far. nice job. #fail
149,LOVED the new update!!! 💯💯🔥
150,Product okish... not bad tbh. 💀
151,idk man... the site keeps lagging :( asap
152,order canceled without reason?? #fail
153,yayyyy my order arrived 🥳🥳🥳 ...
154,yayyyy my order arrived 🥳🥳🥳 asap
155,Received item late but okay quality. #review
156,meh... okay experience overall. lol
157,update ruined everything smh 😩 @brand
158,LOVED the new update!!! 💯💯🔥!!!
159,order canceled without reason?? 🤣
160,no issues so far. nice job. #loveit
161,ugh... delivery took foreverrr 😤😤 lol
162,haha they actually fixed it fast 👏👏 🤣
163,why the payment keeps failing 😡 @company pls fix!! pls fix
164,ugh... delivery took foreverrr 😤😤 #review
165,haha got refund today finally 😂😂 💀
166,quality was fine ig 🤷‍♂️ 💀
167,haha they actually fixed it fast 👏👏
168,Received item late but okay quality. 🤣
