id,text,cleaned,sentiment
1,ugh... delivery took foreverrr 😤😤 frfr,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'frfr']",negative
2,haha they actually fixed it fast 👏👏 frfr,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'frfr']",positive
3,horrible! never ordering again 🤦‍♂️,"['horrible', 'ordering', 'man_facepalming']",negative
4,ugh... delivery took foreverrr 😤😤 💀,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
5,Product okish... not bad tbh. #fail,"['product', 'okish', 'bad', 'tbh']",negative
6,quality was fine ig 🤷‍♂️ ...,"['quality', 'fine', 'ig', 'man_shrugging']",negative
7,idk man... the site keeps lagging :(,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
8,OMG 😍😍 this app is sooo cool!!! #awesome frfr,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'frfr']",positive
9,why the payment keeps failing 😡 @company pls fix!! @brand,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
10,customer srvc was great 👍👍!!!,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
11,order canceled without reason?? 😂😂,"['order', 'canceled', 'reason', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
12,LOVED the new update!!! 💯💯🔥 @brand,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
13,meh... okay experience overall. pls fix,"['meh', 'okay', 'experience', 'overall', 'pls', 'fix']",negative
14,haha they actually fixed it fast 👏👏 😂😂,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
15,customer srvc was great 👍👍 smh,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'smh']",positive
